x,y,z,tonnage,grade,economic_value,reserve
0,0,0,1000,0.1017,-14913.57,-1
0,0,1,1000,0.1263,-13683.1,-1
0,0,2,1000,0.161,-11948.1,-1
0,0,3,1000,0.1744,-11280.27,-1
0,0,4,1000,0.1657,-11716.62,-1
0,0,5,1000,0.1654,-11730.09,-1
0,0,6,1000,0.0633,-16834.89,0
0,0,7,1000,0.0222,-18890.46,0
0,0,8,1000,0.1086,-14571.63,0
0,0,9,1000,0.1304,-13480.78,-1
0,1,0,1000,0.1195,-14025.95,-1
0,1,1,1000,0.1536,-12319.22,-1
0,1,2,1000,0.2015,-9925.0,-1
0,1,3,1000,0.2269,-8655.72,-1
0,1,4,1000,0.2277,-8613.52,-1
0,1,5,1000,0.234,-8300.36,-1
0,1,6,1000,0.2486,-7571.71,-1
0,1,7,1000,0.1099,-14504.75,0
0,1,8,1000,0.2026,-9872.3,-1
0,1,9,1000,0.1493,-12533.88,-1
0,2,0,1000,0.155,-12252.15,-1
0,2,1,1000,0.2037,-9813.66,-1
0,2,2,1000,0.2474,-7630.77,-1
0,2,3,1000,0.2888,-5562.2,-1
0,2,4,1000,0.3228,-3858.49,-1
0,2,5,1000,0.3227,-3865.97,-1
0,2,6,1000,0.2972,-5141.75,-1
0,2,7,1000,0.2623,-6887.14,-1
0,2,8,1000,0.2146,-9272.39,-1
0,2,9,1000,0.1696,-11519.99,-1
0,3,0,1000,0.1741,-11293.36,-1
0,3,1,1000,0.2327,-8363.67,-1
0,3,2,1000,0.2741,-6294.17,-1
0,3,3,1000,0.3267,-3662.68,-1
0,3,4,1000,0.3896,-519.8,-1
0,3,5,1000,0.6236,11178.52,1
0,3,6,1000,0.3645,-1775.47,-1
0,3,7,1000,0.31,-4499.93,-1
0,3,8,1000,0.2592,-7038.85,-1
0,3,9,1000,0.2173,-9135.06,-1
0,4,0,1000,0.1692,-11538.99,-1
0,4,1,1000,0.2339,-8307.01,-1
0,4,2,1000,0.2882,-5590.59,-1
0,4,3,1000,0.3448,-2761.85,-1
0,4,4,1000,0.4148,739.83,-1
0,4,5,1000,0.4673,3365.42,-1
0,4,6,1000,0.4382,1912.45,-1
0,4,7,1000,0.3713,-1433.77,-1
0,4,8,1000,0.3122,-4392.44,-1
0,4,9,1000,0.2585,-7076.52,-1
0,5,0,1000,0.1722,-11387.8,-1
0,5,1,1000,0.2507,-7463.02,-1
0,5,2,1000,0.3279,-3603.56,-1
0,5,3,1000,0.3706,-1470.96,-1
0,5,4,1000,0.1186,-14071.36,0
0,5,5,1000,0.4691,3457.45,-1
0,5,6,1000,0.4478,2390.54,-1
0,5,7,1000,0.3723,-1385.58,-1
0,5,8,1000,0.3191,-4046.78,-1
0,5,9,1000,0.2579,-7104.14,-1
0,6,0,1000,0.1843,-10786.2,-1
0,6,1,1000,0.2678,-6608.3,-1
0,6,2,1000,0.3441,-2794.38,-1
0,6,3,1000,0.3697,-1517.22,-1
0,6,4,1000,0.3905,-473.48,-1
0,6,5,1000,0.4357,1786.15,-1
0,6,6,1000,0.4156,778.32,-1
0,6,7,1000,0.3431,-2845.28,-1
0,6,8,1000,0.3047,-4762.56,-1
0,6,9,1000,0.2473,-7634.72,-1
0,7,0,1000,0.1811,-10947.38,-1
0,7,1,1000,0.2548,-7261.14,-1
0,7,2,1000,0.4805,4025.49,1
0,7,3,1000,0.3288,-3560.63,-1
0,7,4,1000,0.6111,10553.57,1
0,7,5,1000,0.7286,16428.85,1
0,7,6,1000,0.3672,-1639.03,-1
0,7,7,1000,0.3109,-4453.41,-1
0,7,8,1000,0.2851,-5746.77,-1
0,7,9,1000,0.2358,-8209.54,-1
0,8,0,1000,0.1671,-11644.68,-1
0,8,1,1000,0.2237,-8815.55,-1
0,8,2,1000,0.2711,-6447.11,-1
0,8,3,1000,0.2846,-5770.69,-1
0,8,4,1000,0.2811,-5946.99,-1
0,8,5,1000,0.2794,-6032.25,-1
0,8,6,1000,0.2807,-5966.67,-1
0,8,7,1000,0.2606,-6968.21,-1
0,8,8,1000,0.2393,-8035.76,-1
0,8,9,1000,0.1929,-10356.07,-1
0,9,0,1000,0.1306,-13469.52,-1
0,9,1,1000,0.1712,-11439.58,-1
0,9,2,1000,0.2141,-9295.82,-1
0,9,3,1000,0.2281,-8594.06,-1
0,9,4,1000,0.2189,-9056.55,-1
0,9,5,1000,0.2134,-9331.14,-1
0,9,6,1000,0.2291,-8543.63,-1
0,9,7,1000,0.2265,-8676.81,-1
0,9,8,1000,0.2021,-9896.09,-1
0,9,9,1000,0.1572,-12138.55,-1
1,0,0,1000,0.1267,-13667.1,-1
1,0,1,1000,0.0954,-15230.04,0
1,0,2,1000,0.1285,-13573.23,0
1,0,3,1000,0.2428,-7861.88,-1
1,0,4,1000,0.1469,-12657.05,0
1,0,5,1000,0.0716,-16420.87,0
1,0,6,1000,0.1409,-12954.55,0
1,0,7,1000,0.1285,-13572.84,0
1,0,8,1000,0.1473,-12636.94,0
1,0,9,1000,0.1241,-13795.89,0
1,1,0,1000,0.1555,-12226.85,-1
1,1,1,1000,0.2023,-9883.26,-1
1,1,2,1000,0.2734,-6330.03,-1
1,1,3,1000,0.1193,-14034.12,0
1,1,4,1000,0.329,-3549.64,-1
1,1,5,1000,0.3389,-3053.51,-1
1,1,6,1000,0.0529,-17354.46,0
1,1,7,1000,0.0031,-19847.48,0
1,1,8,1000,0.0942,-15289.66,0
1,1,9,1000,0.1847,-10762.54,-1
1,2,0,1000,0.2015,-9927.49,-1
1,2,1,1000,0.2712,-6439.98,-1
1,2,2,1000,0.3384,-3078.12,-1
1,2,3,1000,0.401,51.84,-1
1,2,4,1000,0.4557,2786.82,-1
1,2,5,1000,0.894,24698.37,1
1,2,6,1000,0.4493,2465.24,-1
1,2,7,1000,0.0742,-16289.34,0
1,2,8,1000,0.2861,-5695.46,-1
1,2,9,1000,0.2073,-9634.11,-1
1,3,0,1000,0.2293,-8537.46,-1
1,3,1,1000,0.3154,-4229.88,-1
1,3,2,1000,0.3804,-978.7,-1
1,3,3,1000,0.4563,2817.39,-1
1,3,4,1000,0.8988,24941.51,1
1,3,5,1000,0.9889,29443.9,1
1,3,6,1000,0.9065,25322.58,1
1,3,7,1000,0.8874,24368.07,1
